Order_id,Order_Date,Customer_id,channel_name,Currency _Code,Warehouse_Code,Region_id ,Product_id,Order_ Quantity,Unit _Price,Line_total,Total_Unit_Cost
SO - 000123,2014-06-03,109,Distributor,USD,AXW291,4,2,6,3979.8,23878.8,3064.45
SO - 000124,2014-06-03,52,Wholesale,USD,GUT930,40,14,12,1969.8,23637.6,866.71
SO - 000125,2014-06-03,127,Wholesale,USD,GUT930,31,25,12,268,3216,131.32
SO - 000126,2014-06-03,133,Wholesale,USD,AXW291,20,6,11,174.2,1916.2,95.81
SO - 000127,2014-06-03,116,Distributor,USD,GUT930,42,13,6,2988.2,17929.2,2510.09
SO - 000128,2014-06-03,20,Wholesale,USD,GUT930,43,13,11,3999.9,43998.9,2679.93
SO - 000129,2014-06-03,130,Distributor,USD,AXW291,18,15,10,5976.4,59764,2450.32
SO - 000130,2014-06-03,103,Wholesale,USD,AXW291,19,7,6,2901.1,17406.6,2378.9
SO - 000131,2014-06-04,133,Distributor,USD,NXH382,55,17,7,6076.9,42538.3,2734.61
SO - 000132,2014-06-04,51,Distributor,USD,NXH382,55,5,6,5735.2,34411.2,4186.7
SO - 000133,2014-06-04,175,Export,USD,GUT930,39,2,12,3919.5,47034,2077.34
SO - 000134,2014-06-04,117,Distributor,USD,FLR025,66,26,8,6083.6,48668.8,3832.67
SO - 000135,2014-06-04,42,Wholesale,USD,FLR025,61,3,5,2566.1,12830.5,1642.3
SO - 000136,2014-06-04,166,Wholesale,USD,AXW291,15,19,10,2278,22780,1093.44
SO - 000137,2014-06-04,173,Wholesale,USD,GUT930,46,26,7,261.3,1829.1,120.2
SO - 000138,2014-06-04,11,Wholesale,USD,FLR025,65,6,9,998.3,8984.7,698.81
SO - 000139,2014-06-04,39,Wholesale,USD,AXW291,17,27,6,3497.4,20984.4,1958.54
SO - 000140,2014-06-04,137,Wholesale,USD,GUT930,36,26,9,1132.3,10190.7,486.89
SO - 000141,2014-06-04,75,Wholesale,USD,AXW291,8,14,9,2405.3,21647.7,1587.5
SO - 000142,2014-06-04,33,Distributor,USD,FLR025,66,15,7,5701.7,39911.9,3249.97
SO - 000143,2014-06-05,134,Distributor,USD,GUT930,45,25,9,2452.2,22069.8,1446.8
SO - 000144,2014-06-05,115,Wholesale,USD,AXW291,2,25,7,3095.4,21667.8,2012.01
SO - 000145,2014-06-05,90,Export,USD,GUT930,38,13,9,3865.9,34793.1,2164.9
SO - 000146,2014-06-05,2,Distributor,USD,AXW291,7,5,7,2304.8,16133.6,1382.88
SO - 000147,2014-06-05,47,Distributor,USD,AXW291,7,11,10,3195.9,31959,1470.11
SO - 000148,2014-06-05,80,Wholesale,USD,NXH382,53,13,10,6452.1,64521,5161.68
SO - 000149,2014-06-06,78,Export,USD,AXW291,19,4,6,2003.3,12019.8,921.52
SO - 000150,2014-06-06,91,Wholesale,USD,AXW291,4,18,5,3638.1,18190.5,1455.24
SO - 000151,2014-06-06,19,Export,USD,AXW291,20,3,6,2278,13668,1822.4
SO - 000152,2014-06-06,21,Distributor,USD,AXW291,26,5,12,924.6,11095.2,582.5
SO - 000153,2014-06-06,31,Wholesale,USD,AXW291,20,21,11,3926.2,43188.2,3062.44
SO - 000154,2014-06-06,70,Export,USD,FLR025,63,15,7,3825.7,26779.9,2257.16
SO - 000155,2014-06-06,89,Wholesale,USD,FLR025,65,4,10,2257.9,22579,1377.32
SO - 000156,2014-06-07,3,Wholesale,USD,AXW291,27,30,7,1112.2,7785.4,756.3
SO - 000157,2014-06-07,76,Wholesale,USD,AXW291,19,14,5,3557.7,17788.5,1814.43
SO - 000158,2014-06-07,3,Distributor,USD,AXW291,11,1,7,2371.8,16602.6,1233.34
SO - 000159,2014-06-07,125,Wholesale,USD,AXW291,11,14,12,857.6,10291.2,686.08
SO - 000160,2014-06-08,86,Wholesale,USD,GUT930,43,8,11,3892.7,42819.7,2880.6
SO - 000161,2014-06-08,1,Distributor,USD,AXW291,28,24,8,3477.3,27818.4,1390.92
SO - 000162,2014-06-08,104,Distributor,USD,AXW291,28,26,6,3738.6,22431.6,2803.95
SO - 000163,2014-06-08,63,Wholesale,USD,NXH382,48,25,8,1072,8576,589.6
SO - 000164,2014-06-08,121,Wholesale,USD,AXW291,22,4,12,2257.9,27094.8,1761.16
SO - 000165,2014-06-08,40,Distributor,USD,GUT930,42,3,5,1058.6,5293,751.61
SO - 000166,2014-06-08,118,Wholesale,USD,AXW291,14,1,10,2492.4,24924,1296.05
SO - 000167,2014-06-08,20,Wholesale,USD,AXW291,13,4,6,3852.5,23115,2465.6
SO - 000168,2014-06-09,119,Wholesale,USD,GUT930,39,13,11,241.2,2653.2,132.66
SO - 000169,2014-06-09,134,Distributor,USD,AXW291,6,5,5,1051.9,5259.5,494.39
SO - 000170,2014-06-09,146,Distributor,USD,AXW291,31,29,8,227.8,1822.4,107.07
SO - 000171,2014-06-09,101,Wholesale,USD,FLR025,60,26,9,1078.7,9708.3,506.99
SO - 000172,2014-06-09,125,Wholesale,USD,AXW291,18,17,6,1005,6030,743.7
SO - 000173,2014-06-09,109,Distributor,USD,NXH382,52,23,6,2485.7,14914.2,1317.42
SO - 000174,2014-06-09,108,Distributor,USD,AXW291,26,4,10,2659.9,26599,2154.52
SO - 000175,2014-06-10,72,Wholesale,USD,AXW291,20,6,11,2224.4,24468.4,1579.32
SO - 000176,2014-06-10,152,Wholesale,USD,FLR025,61,1,8,2472.3,19778.4,1260.87
SO - 000177,2014-06-10,71,Wholesale,USD,GUT930,42,25,7,1011.7,7081.9,799.24
SO - 000178,2014-06-10,133,Wholesale,USD,GUT930,42,25,6,234.5,1407,128.98
SO - 000179,2014-06-10,131,Distributor,USD,AXW291,29,25,8,261.3,2090.4,143.72
SO - 000180,2014-06-10,147,Export,USD,AXW291,7,11,5,4006.6,20033,2844.69
SO - 000181,2014-06-10,150,Distributor,USD,GUT930,38,14,6,1333.3,7999.8,866.65
SO - 000182,2014-06-11,109,Wholesale,USD,GUT930,46,16,5,167.5,837.5,90.45
SO - 000183,2014-06-11,140,Export,USD,FLR025,61,25,5,3195.9,15979.5,1821.66
SO - 000184,2014-06-11,3,Wholesale,USD,NXH382,56,16,10,1051.9,10519,809.96
SO - 000185,2014-06-11,102,Export,USD,AXW291,2,5,9,5447.1,49023.9,3540.62
SO - 000186,2014-06-11,159,Wholesale,USD,GUT930,36,5,8,3182.5,25460,1973.15
SO - 000187,2014-06-12,136,Wholesale,USD,FLR025,61,13,5,891.1,4455.5,632.68
SO - 000188,2014-06-12,145,Export,USD,AXW291,29,17,7,3892.7,27248.9,2724.89
SO - 000189,2014-06-12,21,Export,USD,GUT930,45,12,9,3953,35577,3360.05
SO - 000190,2014-06-12,106,Wholesale,USD,GUT930,34,15,9,924.6,8321.4,545.51
SO - 000191,2014-06-12,5,Distributor,USD,GUT930,34,14,10,3430.4,34304,1989.63
SO - 000192,2014-06-12,57,Wholesale,USD,AXW291,31,17,8,1152.4,9219.2,622.3
SO - 000193,2014-06-12,28,Wholesale,USD,AXW291,24,2,5,1085.4,5427,922.59
SO - 000194,2014-06-13,34,Wholesale,USD,AXW291,27,16,5,5031.7,25158.5,4025.36
SO - 000195,2014-06-13,72,Wholesale,USD,AXW291,18,5,8,1092.1,8736.8,436.84
SO - 000196,2014-06-13,170,Export,USD,AXW291,4,28,9,187.6,1688.4,144.45
SO - 000197,2014-06-13,13,Export,USD,AXW291,17,26,9,3993.2,35938.8,2835.17
SO - 000198,2014-06-13,19,Export,USD,FLR025,65,30,11,2472.3,27195.3,1433.93
SO - 000199,2014-06-13,166,Wholesale,USD,AXW291,5,25,11,1206,13266,844.2
SO - 000200,2014-06-13,136,Distributor,USD,AXW291,26,13,11,1728.6,19014.6,985.3
SO - 000201,2014-06-13,121,Wholesale,USD,AXW291,25,25,6,1983.2,11899.2,1447.74
SO - 000202,2014-06-13,75,Wholesale,USD,GUT930,33,30,7,5313.1,37191.7,2656.55
SO - 000203,2014-06-13,124,Export,USD,AXW291,11,6,11,871,9581,566.15
SO - 000204,2014-06-14,100,Wholesale,USD,GUT930,32,4,6,2532.6,15195.6,2051.41
SO - 000205,2014-06-14,54,Wholesale,USD,AXW291,17,21,8,5916.1,47328.8,4673.72
SO - 000206,2014-06-14,146,Wholesale,USD,GUT930,42,1,7,2887.7,20213.9,1443.85
SO - 000207,2014-06-14,170,Wholesale,USD,GUT930,36,12,7,1855.9,12991.3,1447.6
SO - 000208,2014-06-14,108,Distributor,USD,AXW291,11,21,6,207.7,1246.2,135.01
SO - 000209,2014-06-14,166,Wholesale,USD,FLR025,62,3,6,1058.6,6351.6,772.78
SO - 000210,2014-06-14,142,Wholesale,USD,GUT930,44,3,10,958.1,9581,517.37
SO - 000211,2014-06-14,100,Wholesale,USD,GUT930,34,8,9,2659.9,23939.1,1675.74
SO - 000212,2014-06-14,75,Distributor,USD,AXW291,26,13,12,2217.7,26612.4,1707.63
SO - 000213,2014-06-15,155,Wholesale,USD,AXW291,8,16,7,1715.2,12006.4,857.6
SO - 000214,2014-06-15,20,Wholesale,USD,NXH382,52,10,6,3932.9,23597.4,1691.15
SO - 000215,2014-06-15,104,Distributor,USD,AXW291,31,9,5,2546,12730,1909.5
SO - 000216,2014-06-15,150,Distributor,USD,NXH382,50,25,5,837.5,4187.5,603
SO - 000217,2014-06-15,70,Distributor,USD,GUT930,40,10,10,1809,18090,1302.48
SO - 000218,2014-06-15,77,Distributor,USD,NXH382,55,13,5,857.6,4288,514.56
SO - 000219,2014-06-15,38,Export,USD,AXW291,2,13,8,1748.7,13989.6,1101.68
SO - 000220,2014-06-15,68,Distributor,USD,AXW291,14,25,10,1266.3,12663,582.5
SO - 000221,2014-06-15,142,Wholesale,USD,AXW291,5,13,11,5058.5,55643.5,3591.54
SO - 000222,2014-06-15,74,Distributor,USD,AXW291,7,23,10,958.1,9581,795.22
SO - 000223,2014-06-15,156,Export,USD,AXW291,22,19,11,1802.3,19825.3,756.97
SO - 000224,2014-06-16,135,Wholesale,USD,AXW291,9,13,11,6298,69278,4534.56
SO - 000225,2014-06-16,126,Wholesale,USD,AXW291,1,27,6,2499.1,14994.6,1824.34
SO - 000226,2014-06-16,140,Wholesale,USD,GUT930,36,19,8,871,6968,705.51
SO - 000227,2014-06-16,123,Wholesale,USD,GUT930,44,15,6,750.4,4502.4,360.19
SO - 000228,2014-06-16,139,Distributor,USD,GUT930,36,5,5,763.8,3819,504.11
SO - 000229,2014-06-16,96,Export,USD,NXH382,55,17,11,844.2,9286.2,565.61
SO - 000230,`,154,Wholesale,USD,AXW291,6,24,5,261.3,1306.5,112.36
SO - 000231,2014-06-16,4,Export,USD,AXW291,13,14,8,3999.9,31999.2,2359.94
SO - 000232,2014-06-16,70,Wholesale,USD,GUT930,45,26,7,1112.2,7785.4,811.91
SO - 000233,2014-06-16,50,Wholesale,USD,AXW291,30,8,8,2633.1,21064.8,1843.17
SO - 000234,2014-06-16,44,Distributor,USD,AXW291,24,20,5,1018.4,5092,631.41
SO - 000235,2014-06-16,70,Distributor,USD,AXW291,10,26,12,5219.3,62631.6,3444.74
SO - 000236,2014-06-16,175,Export,USD,NXH382,47,8,11,3999.9,43998.9,2359.94
SO - 000237,2014-06-17,90,Wholesale,USD,FLR025,62,13,10,1721.9,17219,1084.8
SO - 000238,2014-06-17,129,Wholesale,USD,GUT930,35,1,9,737,6633,456.94
SO - 000239,2014-06-17,124,Wholesale,USD,AXW291,6,9,9,1219.4,10974.6,695.06
SO - 000240,2014-06-17,9,Wholesale,USD,NXH382,51,29,6,891.1,5346.6,712.88
SO - 000241,2014-06-17,117,Wholesale,USD,AXW291,27,25,12,978.2,11738.4,743.43
SO - 000242,2014-06-17,100,Wholesale,USD,AXW291,31,17,9,3946.3,35516.7,1657.45
SO - 000243,2014-06-17,92,Wholesale,USD,GUT930,33,18,12,1299.8,15597.6,922.86
SO - 000244,2014-06-18,155,Distributor,USD,AXW291,14,7,5,5815.6,29078,2791.49
SO - 000245,2014-06-18,100,Distributor,USD,AXW291,22,15,10,1092.1,10921,655.26
SO - 000246,2014-06-18,156,Wholesale,USD,AXW291,7,25,7,1072,7504,643.2
SO - 000247,2014-06-18,134,Wholesale,USD,GUT930,39,26,11,4020,44220,2653.2
SO - 000248,2014-06-18,140,Wholesale,USD,AXW291,12,3,9,984.9,8864.1,669.73
SO - 000249,2014-06-18,28,Wholesale,USD,FLR025,62,16,12,227.8,2733.6,100.23
SO - 000250,2014-06-18,72,Wholesale,USD,AXW291,7,13,11,3993.2,43925.2,3314.36
SO - 000251,2014-06-18,106,Distributor,USD,AXW291,30,2,10,221.1,2211,185.72
SO - 000252,2014-06-19,62,Distributor,USD,AXW291,19,14,9,3356.7,30210.3,2819.63
SO - 000253,2014-06-19,94,Wholesale,USD,NXH382,58,21,6,1701.8,10210.8,1157.22
SO - 000254,2014-06-19,67,Wholesale,USD,NXH382,50,15,5,2566.1,12830.5,2181.19
SO - 000255,2014-06-19,102,Wholesale,USD,AXW291,19,13,12,221.1,2653.2,126.03
SO - 000256,2014-06-19,172,Wholesale,USD,GUT930,45,27,9,1782.2,16039.8,980.21
SO - 000257,2014-06-19,41,Wholesale,USD,AXW291,17,30,10,2003.3,20033,801.32
SO - 000258,2014-06-19,142,Wholesale,USD,AXW291,6,17,11,2385.2,26237.2,1502.68
SO - 000259,2014-06-19,2,Wholesale,USD,AXW291,3,15,11,2231.1,24542.1,1784.88
SO - 000260,2014-06-19,140,Wholesale,USD,AXW291,22,18,7,1005,7035,412.05
SO - 000261,2014-06-19,122,Distributor,USD,NXH382,53,2,12,2693.4,32320.8,1939.25
SO - 000262,2014-06-19,156,Wholesale,USD,AXW291,20,4,8,1105.5,8844,652.25
SO - 000263,2014-06-20,108,Distributor,USD,AXW291,16,8,9,1909.5,17185.5,1088.42
SO - 000264,2014-06-20,123,Distributor,USD,GUT930,32,1,8,1118.9,8951.2,850.36
SO - 000265,2014-06-20,15,Wholesale,USD,AXW291,17,4,10,1038.5,10385,758.11
SO - 000266,2014-06-20,125,Distributor,USD,AXW291,23,14,6,6324.8,37948.8,4300.86
SO - 000267,2014-06-20,75,Wholesale,USD,AXW291,3,16,6,1005,6030,502.5
SO - 000268,2014-06-20,116,Distributor,USD,GUT930,32,16,10,1293.1,12931,659.48
SO - 000269,2014-06-20,47,Wholesale,USD,AXW291,14,25,5,844.2,4221,540.29
SO - 000270,2014-06-20,40,Wholesale,USD,NXH382,58,1,8,247.9,1983.2,195.84
SO - 000271,2014-06-20,161,Wholesale,USD,GUT930,39,13,12,174.2,2090.4,139.36
SO - 000272,2014-06-21,58,Wholesale,USD,NXH382,50,2,9,1025.1,9225.9,707.32
SO - 000273,2014-06-21,18,Export,USD,FLR025,62,10,9,3068.6,27617.4,2301.45
SO - 000274,2014-06-21,78,Distributor,USD,AXW291,22,18,7,241.2,1688.4,115.78
SO - 000275,2014-06-21,67,Distributor,USD,GUT930,36,15,10,174.2,1742,139.36
SO - 000276,2014-06-21,152,Export,USD,AXW291,6,17,7,2505.8,17540.6,1804.18
SO - 000277,2014-06-21,164,Wholesale,USD,GUT930,42,11,11,2599.6,28595.6,1637.75
SO - 000278,2014-06-21,151,Export,USD,AXW291,28,26,12,2278,27336,1503.48
SO - 000279,2014-06-22,106,Wholesale,USD,FLR025,64,25,12,1092.1,13105.2,589.73
SO - 000280,2014-06-22,1,Wholesale,USD,AXW291,8,17,9,1139,10251,933.98
SO - 000281,2014-06-22,67,Export,USD,FLR025,61,14,11,1675,18425,1072
SO - 000282,2014-06-22,38,Export,USD,GUT930,41,23,7,1011.7,7081.9,687.96
SO - 000283,2014-06-22,127,Wholesale,USD,AXW291,23,4,12,938,11256,412.72
SO - 000284,2014-06-22,66,Distributor,USD,AXW291,10,2,10,2566.1,25661,1052.1
SO - 000285,2014-06-23,59,Wholesale,USD,GUT930,32,6,12,871,10452,374.53
SO - 000286,2014-06-23,68,Wholesale,USD,AXW291,15,25,9,2485.7,22371.3,1789.7
SO - 000287,2014-06-23,67,Distributor,USD,FLR025,66,27,9,2345,21105,1922.9
SO - 000288,2014-06-23,21,Distributor,USD,AXW291,9,12,12,1118.9,13426.8,749.66
SO - 000289,2014-06-23,39,Wholesale,USD,AXW291,2,20,7,1996.6,13976.2,1397.62
SO - 000290,2014-06-23,113,Distributor,USD,AXW291,23,25,6,710.2,4261.2,390.61
SO - 000291,2014-06-23,21,Export,USD,GUT930,37,1,6,3979.8,23878.8,1790.91
SO - 000292,2014-06-23,116,Distributor,USD,FLR025,61,25,6,1025.1,6150.6,440.79
SO - 000293,2014-06-23,95,Distributor,USD,GUT930,36,15,8,2519.2,20153.6,1309.98
SO - 000294,2014-06-23,9,Wholesale,USD,AXW291,27,5,8,5031.7,40253.6,3471.87
SO - 000295,2014-06-24,3,Wholesale,USD,NXH382,56,18,10,1829.1,18291,768.22
SO - 000296,2014-06-24,148,Wholesale,USD,NXH382,55,26,11,1072,11792,900.48
SO - 000297,2014-06-24,109,Wholesale,USD,GUT930,45,27,10,2539.3,25393,1828.3
SO - 000298,2014-06-24,38,Distributor,USD,NXH382,48,19,8,3899.4,31195.2,2027.69
SO - 000299,2014-06-25,102,Wholesale,USD,FLR025,66,1,7,5045.1,35315.7,3380.22
SO - 000300,2014-06-25,37,Wholesale,USD,AXW291,23,20,11,1005,11055,522.6
SO - 000301,2014-06-25,107,Wholesale,USD,GUT930,33,28,11,2438.8,26826.8,1219.4
SO - 000302,2014-06-26,40,Distributor,USD,AXW291,28,1,6,3336.6,20019.6,2035.33
SO - 000303,2014-06-26,154,Wholesale,USD,GUT930,46,27,6,1098.8,6592.8,857.06
SO - 000304,2014-06-26,107,Wholesale,USD,AXW291,12,2,11,1902.8,20930.8,970.43
SO - 000305,2014-06-26,137,Wholesale,USD,AXW291,28,9,11,3477.3,38250.3,2190.7
SO - 000306,2014-06-27,146,Distributor,USD,GUT930,36,17,10,2599.6,25996,1481.77
SO - 000307,2014-06-27,164,Wholesale,USD,NXH382,54,25,12,1078.7,12944.4,506.99
SO - 000308,2014-06-27,4,Distributor,USD,GUT930,36,1,11,1045.2,11497.2,533.05
SO - 000309,2014-06-27,4,Export,USD,AXW291,29,2,11,1125.6,12381.6,787.92
SO - 000310,2014-06-27,165,Export,USD,GUT930,34,16,12,1105.5,13266,762.8
SO - 000311,2014-06-27,68,Export,USD,AXW291,16,10,10,2606.3,26063,1668.03
SO - 000312,2014-06-27,109,Wholesale,USD,GUT930,41,13,7,227.8,1594.6,95.68
SO - 000313,2014-06-27,107,Wholesale,USD,GUT930,33,15,8,167.5,1340,123.95
SO - 000314,2014-06-27,48,Wholesale,USD,GUT930,45,23,6,1145.7,6874.2,538.48
SO - 000315,2014-06-27,62,Wholesale,USD,NXH382,59,14,7,2599.6,18197.2,2157.67
SO - 000316,2014-06-28,21,Wholesale,USD,AXW291,25,10,5,3939.6,19698,1969.8
SO - 000317,2014-06-28,40,Distributor,USD,AXW291,20,2,6,2881,17286,1584.55
SO - 000318,2014-06-28,62,Distributor,USD,AXW291,20,13,8,3852.5,30820,2003.3
SO - 000319,2014-06-28,100,Export,USD,AXW291,10,17,7,1139,7973,546.72
SO - 000320,2014-06-28,59,Distributor,USD,GUT930,35,25,8,2519.2,20153.6,2040.55
SO - 000321,2014-06-28,39,Distributor,USD,AXW291,15,17,12,1192.6,14311.2,703.63
SO - 000322,2014-06-28,122,Wholesale,USD,GUT930,39,19,11,2412,26532,1013.04
SO - 000323,2014-06-28,142,Wholesale,USD,AXW291,24,25,9,2479,22311,2057.57
SO - 000324,2014-06-28,5,Wholesale,USD,NXH382,58,14,10,1956.4,19564,1330.35
SO - 000325,2014-06-28,22,Wholesale,USD,GUT930,32,25,9,1078.7,9708.3,722.73
SO - 000326,2014-06-28,47,Wholesale,USD,AXW291,13,22,11,1212.7,13339.7,945.91
SO - 000327,2014-06-28,88,Distributor,USD,GUT930,46,21,7,978.2,6847.4,821.69
SO - 000328,2014-06-28,172,Distributor,USD,NXH382,50,23,10,174.2,1742,120.2
SO - 000329,2014-06-28,74,Wholesale,USD,GUT930,41,5,5,1125.6,5628,630.34
SO - 000330,2014-06-29,31,Distributor,USD,NXH382,52,25,8,1065.3,8522.4,468.73
SO - 000331,2014-06-29,111,Distributor,USD,AXW291,11,2,8,3892.7,31141.6,2724.89
SO - 000332,2014-06-29,54,Wholesale,USD,NXH382,54,6,5,207.7,1038.5,120.47
SO - 000333,2014-06-29,99,Wholesale,USD,AXW291,14,27,8,1185.9,9487.2,948.72
SO - 000334,2014-06-29,110,Export,USD,FLR025,64,25,11,2586.2,28448.2,1629.31
SO - 000335,2014-06-29,152,Wholesale,USD,AXW291,5,5,10,2579.5,25795,1960.42
SO - 000336,2014-06-29,10,Distributor,USD,AXW291,5,4,8,6378.4,51027.2,2806.5
SO - 000337,2014-06-29,41,Wholesale,USD,NXH382,53,6,6,3008.3,18049.8,2226.14
SO - 000338,2014-06-29,27,Wholesale,USD,AXW291,26,26,8,1755.4,14043.2,930.36
SO - 000339,2014-06-29,168,Wholesale,USD,AXW291,31,6,8,1139,9112,740.35
SO - 000340,2014-06-29,3,Distributor,USD,AXW291,8,6,7,6157.3,43101.1,4556.4
SO - 000341,2014-06-29,150,Export,USD,AXW291,8,22,12,2231.1,26773.2,1093.24
SO - 000342,2014-06-29,4,Wholesale,USD,AXW291,12,20,9,2479,22311,1859.25
SO - 000343,2014-06-30,70,Wholesale,USD,AXW291,4,25,11,6391.8,70309.8,4793.85
SO - 000344,2014-06-30,143,Export,USD,NXH382,48,25,8,1139,9112,660.62
SO - 000345,2014-06-30,65,Wholesale,USD,GUT930,36,10,8,2586.2,20689.6,1681.03
SO - 000346,2014-06-30,171,Wholesale,USD,GUT930,38,25,5,3899.4,19497,1871.71
SO - 000347,2014-06-30,48,Distributor,USD,AXW291,15,22,9,951.4,8562.6,599.38
SO - 000348,2014-07-01,41,Distributor,USD,GUT930,31,26,9,5607.9,50471.1,3476.9
SO - 000349,2014-07-01,44,Export,USD,NXH382,50,5,8,1165.8,9326.4,827.72
SO - 000350,2014-07-01,30,Distributor,USD,NXH382,50,13,12,1949.7,23396.4,1520.77
SO - 000351,2014-07-01,75,Distributor,USD,AXW291,27,16,9,3685,33165,2690.05
SO - 000352,2014-07-01,138,Wholesale,USD,FLR025,60,13,8,2633.1,21064.8,1816.84
SO - 000353,2014-07-01,133,Wholesale,USD,NXH382,50,5,6,1072,6432,460.96
SO - 000354,2014-07-01,67,Distributor,USD,AXW291,6,17,10,3537.6,35376,1910.3
SO - 000355,2014-07-01,151,Distributor,USD,GUT930,42,18,11,1092.1,12013.1,622.5
SO - 000356,2014-07-01,98,Wholesale,USD,NXH382,48,4,9,1748.7,15738.3,1136.66
SO - 000357,2014-07-01,82,Wholesale,USD,AXW291,2,2,8,891.1,7128.8,739.61
SO - 000358,2014-07-01,78,Wholesale,USD,AXW291,29,19,5,3082,15410,1510.18
SO - 000359,2014-07-01,63,Wholesale,USD,AXW291,27,25,5,1125.6,5628,776.66
SO - 000360,2014-07-01,47,Wholesale,USD,AXW291,19,19,9,1252.9,11276.1,651.51
SO - 000361,2014-07-02,4,Distributor,USD,FLR025,66,14,11,837.5,9212.5,527.63
SO - 000362,2014-07-02,172,Wholesale,USD,NXH382,53,5,10,1031.8,10318,773.85
SO - 000363,2014-07-02,64,Wholesale,USD,GUT930,46,15,10,2385.2,23852,1454.97
SO - 000364,2014-07-02,106,Distributor,USD,AXW291,28,29,8,1802.3,14418.4,1153.47
SO - 000365,2014-07-02,29,Distributor,USD,NXH382,49,25,5,1018.4,5092,753.62
SO - 000366,2014-07-02,60,Wholesale,USD,AXW291,19,13,10,3946.3,39463,1815.3
SO - 000367,2014-07-02,29,Distributor,USD,AXW291,24,15,6,3953,23718,2095.09
SO - 000368,2014-07-03,142,Wholesale,USD,AXW291,29,16,10,5098.7,50987,3416.13
SO - 000369,2014-07-03,173,Export,USD,FLR025,63,20,11,3758.7,41345.7,1954.52
SO - 000370,2014-07-03,141,Distributor,USD,AXW291,9,1,5,911.2,4556,610.5
SO - 000371,2014-07-03,42,Wholesale,USD,GUT930,43,19,8,904.5,7236,379.89
SO - 000372,2014-07-03,87,Wholesale,USD,AXW291,23,26,10,911.2,9112,410.04
SO - 000373,2014-07-03,82,Wholesale,USD,AXW291,7,12,10,227.8,2278,134.4
SO - 000374,2014-07-03,4,Distributor,USD,AXW291,13,3,5,254.6,1273,117.12
SO - 000375,2014-07-03,160,Wholesale,USD,AXW291,6,14,11,683.4,7517.4,444.21
SO - 000376,2014-07-04,129,Wholesale,USD,AXW291,29,25,7,3919.5,27436.5,2234.12
SO - 000377,2014-07-04,34,Distributor,USD,FLR025,64,13,10,1092.1,10921,786.31
SO - 000378,2014-07-05,130,Wholesale,USD,GUT930,36,13,11,924.6,10170.6,536.27
SO - 000379,2014-07-05,47,Distributor,USD,GUT930,33,24,5,1018.4,5092,794.35
SO - 000380,2014-07-05,66,Distributor,USD,FLR025,65,14,5,1788.9,8944.5,1305.9
SO - 000381,2014-07-05,77,Distributor,USD,AXW291,15,22,11,944.7,10391.7,538.48
SO - 000382,2014-07-05,133,Distributor,USD,AXW291,26,15,6,3959.7,23758.2,2573.81
SO - 000383,2014-07-05,42,Distributor,USD,AXW291,27,4,12,167.5,2010,70.35
SO - 000384,2014-07-05,111,Export,USD,AXW291,19,8,8,3872.6,30980.8,1975.03
SO - 000385,2014-07-05,65,Distributor,USD,GUT930,34,2,5,6539.2,32696,3858.13
